Timestamp,Sensor Data,Value,Node
2026-04-03 12:04:03,battery_voltage (V),4.16,W096
2026-04-03 12:33:56,battery_voltage (V),4.16,W096
2026-04-03 13:04:00,battery_voltage (V),4.16,W096
2026-04-03 13:33:59,battery_voltage (V),4.17,W096
2026-04-03 14:04:00,battery_voltage (V),4.16,W096
2026-04-03 14:33:59,battery_voltage (V),4.16,W096
2026-04-03 15:04:04,battery_voltage (V),4.16,W096
2026-04-03 15:34:01,battery_voltage (V),4.17,W096
2026-04-03 16:03:56,battery_voltage (V),4.16,W096
2026-04-03 16:33:57,battery_voltage (V),4.16,W096
2026-04-03 17:03:58,battery_voltage (V),4.15,W096
2026-04-03 18:03:57,battery_voltage (V),4.15,W096
2026-04-03 19:34:00,battery_voltage (V),4.14,W096
2026-04-03 20:04:02,battery_voltage (V),4.14,W096
2026-04-03 21:03:58,battery_voltage (V),4.13,W096
2026-04-03 21:34:00,battery_voltage (V),4.13,W096
2026-04-03 22:04:01,battery_voltage (V),4.13,W096
2026-04-03 22:34:03,battery_voltage (V),4.13,W096
2026-04-03 23:04:01,battery_voltage (V),4.13,W096
2026-04-03 23:33:56,battery_voltage (V),4.12,W096
2026-04-04 00:04:01,battery_voltage (V),4.12,W096
2026-04-04 00:33:55,battery_voltage (V),4.12,W096
2026-04-04 01:03:56,battery_voltage (V),4.12,W096
2026-04-04 01:34:03,battery_voltage (V),4.11,W096
2026-04-04 02:04:00,battery_voltage (V),4.11,W096
2026-04-04 02:33:56,battery_voltage (V),4.11,W096
2026-04-04 03:03:59,battery_voltage (V),4.11,W096
2026-04-04 03:34:00,battery_voltage (V),4.1,W096
2026-04-04 04:03:58,battery_voltage (V),4.1,W096
2026-04-04 04:33:56,battery_voltage (V),4.09,W096
2026-04-04 05:04:02,battery_voltage (V),4.09,W096
2026-04-04 05:34:01,battery_voltage (V),4.09,W096
2026-04-04 06:03:56,battery_voltage (V),4.08,W096
2026-04-04 06:34:05,battery_voltage (V),4.08,W096
2026-04-04 07:03:56,battery_voltage (V),4.08,W096
2026-04-04 07:34:05,battery_voltage (V),4.07,W096
2026-04-04 08:03:59,battery_voltage (V),4.07,W096
2026-04-04 08:33:54,battery_voltage (V),4.07,W096
2026-04-04 09:04:02,battery_voltage (V),4.09,W096
2026-04-04 09:34:03,battery_voltage (V),4.08,W096
2026-04-04 10:04:03,battery_voltage (V),4.07,W096
2026-04-04 10:34:04,battery_voltage (V),4.09,W096
2026-04-04 11:34:01,battery_voltage (V),4.14,W096
2026-04-04 12:04:01,battery_voltage (V),4.16,W096
2026-04-04 12:33:55,battery_voltage (V),4.14,W096
2026-04-04 13:04:04,battery_voltage (V),4.19,W096
2026-04-04 13:33:59,battery_voltage (V),4.16,W096
2026-04-04 14:03:58,battery_voltage (V),4.16,W096
2026-04-04 15:03:58,battery_voltage (V),4.16,W096
2026-04-04 16:33:54,battery_voltage (V),4.16,W096
2026-04-04 17:04:04,battery_voltage (V),4.16,W096
2026-04-04 17:34:04,battery_voltage (V),4.15,W096
2026-04-04 18:33:58,battery_voltage (V),4.15,W096
2026-04-04 19:04:03,battery_voltage (V),4.14,W096
2026-04-04 19:33:57,battery_voltage (V),4.14,W096
2026-04-04 20:04:00,battery_voltage (V),4.14,W096
2026-04-04 20:34:00,battery_voltage (V),4.13,W096
2026-04-04 21:34:00,battery_voltage (V),4.13,W096
2026-04-04 22:03:56,battery_voltage (V),4.13,W096
2026-04-04 22:34:04,battery_voltage (V),4.13,W096
2026-04-04 23:04:02,battery_voltage (V),4.12,W096
2026-04-04 23:33:56,battery_voltage (V),4.12,W096
2026-04-05 00:04:04,battery_voltage (V),4.12,W096
2026-04-05 00:33:56,battery_voltage (V),4.12,W096
2026-04-05 01:04:01,battery_voltage (V),4.11,W096
2026-04-05 01:34:00,battery_voltage (V),4.11,W096
2026-04-05 02:03:56,battery_voltage (V),4.11,W096
2026-04-05 02:34:03,battery_voltage (V),4.11,W096
2026-04-05 03:04:03,battery_voltage (V),4.1,W096
2026-04-05 03:34:01,battery_voltage (V),4.1,W096
2026-04-05 04:03:58,battery_voltage (V),4.09,W096
2026-04-05 04:33:57,battery_voltage (V),4.09,W096
2026-04-05 05:03:58,battery_voltage (V),4.09,W096
2026-04-05 05:34:01,battery_voltage (V),4.08,W096
2026-04-05 06:03:58,battery_voltage (V),4.08,W096
2026-04-05 06:34:03,battery_voltage (V),4.07,W096
2026-04-05 07:03:55,battery_voltage (V),4.07,W096
2026-04-05 07:34:00,battery_voltage (V),4.09,W096
2026-04-05 08:03:56,battery_voltage (V),4.11,W096
2026-04-05 08:33:58,battery_voltage (V),4.12,W096
2026-04-05 09:04:03,battery_voltage (V),4.16,W096
2026-04-05 09:34:05,battery_voltage (V),4.17,W096
2026-04-05 10:03:57,battery_voltage (V),4.19,W096
2026-04-05 10:33:58,battery_voltage (V),4.16,W096
2026-04-05 11:04:04,battery_voltage (V),4.16,W096
2026-04-05 11:34:03,battery_voltage (V),4.16,W096
2026-04-05 12:04:04,battery_voltage (V),4.16,W096
2026-04-05 12:34:01,battery_voltage (V),4.16,W096
2026-04-05 13:03:59,battery_voltage (V),4.16,W096
2026-04-05 13:33:56,battery_voltage (V),4.16,W096
2026-04-05 14:04:02,battery_voltage (V),4.17,W096
2026-04-05 14:34:03,battery_voltage (V),4.17,W096
2026-04-05 15:03:58,battery_voltage (V),4.16,W096
2026-04-05 15:33:57,battery_voltage (V),4.16,W096
2026-04-05 16:04:04,battery_voltage (V),4.17,W096
2026-04-05 16:33:56,battery_voltage (V),4.17,W096
